School|st_ratio
ARTHUR R. GOULD SCH--LCYDC|1.46
MOUNTAIN VIEW YOUTH DEV CTR|2.75
ISLE AU HAUT RURAL SCHOOL|2.78
MONHEGAN ISLAND SCHOOL|3
CLIFF ISLAND SCHOOL|4
WESLEY ELEMENTARY SCHOOL|4
FRENCHBORO ELEMENTARY SCHOOL|4.35
ASHLEY BRYAN SCHOOL|4.44
NORTH HAVEN COMMUNITY SCHOOL|4.56
BROOKSVILLE ELEMENTARY SCHOOL|4.75
VANCEBORO ELEMENTARY SCHOOL|5.5
ANDOVER ELEMENTARY SCHOOL|5.58
TREMONT CONSOLIDATED SCHOOL|5.63
ADAMS SCHOOL|5.72
CONNOR CONSOLIDATED SCHOOL|6.01
PENOBSCOT ELEMENTARY SCHOOL|6.04
CUSHING COMMUNITY SCHOOL|6.08
WHITING VILLAGE SCHOOL|6.11
BROOKLIN SCHOOL|6.15
OWLS HEAD CENTRAL SCHOOL|6.27
JONESPORT-BEALS HIGH SCHOOL|6.39
JORDAN-SMALL MIDDLE SCHOOL|6.56
EDMUNDS CONSOLIDATED SCHOOL|6.59
SACO TRANSITION PROGRAM|6.67
LUBEC CONSOLIDATED SCHOOL|6.68
FORT O'BRIEN SCHOOL|6.75
DEER ISLE-STONINGTON HIGH SCH|6.8
ISLESBORO CENTRAL SCHOOL|6.8
VAN BUREN DISTRICT SECONDARY SCH|6.83
SEARSPORT DISTRICT HIGH SCHOOL|6.92
BEALS ELEMENTARY SCHOOL|6.97
GILFORD BUTLER SCHOOL|7.03
SWANS ISLAND ELEMENTARY SCHOOL|7.03
QUIMBY MIDDLE SCHOOL|7.12
ME SCH OF SCIENCE & MATHEMATICS|7.16
AIRLINE COMMUNITY SCHOOL|7.26
ST FRANCIS ELEMENTARY SCHOOL|7.3
SOUTHPORT CENTRAL SCHOOL|7.36
TRENTON ELEMENTARY SCHOOL|7.36
THOMASTON GRAMMAR SCHOOL|7.65
WAYNE ELEMENTARY SCHOOL|7.65
SEBAGO ELEMENTARY SCHOOL|7.66
SEDGWICK ELEMENTARY SCHOOL|7.73
LURA LIBBY SCHOOL|7.76
LAMOINE CONSOLIDATED SCHOOL|7.78
EAGLE LAKE ELEM/JR HIGH SCHOOL|7.82
GEORGETOWN CENTRAL SCHOOL|7.84
CHARLOTTE ELEMENTARY SCHOOL|7.86
ST GEORGE SCHOOL|7.87
VINALHAVEN SCHOOL|7.9
DEER ISLE-STONINGTON ELEMENTARY SCH|7.93
CHEBEAGUE ISLAND SCHOOL|7.98
DAWN F BARNES ELEMENTARY SCH|8
FIDDLEHEAD SCHOOL OF ARTS & SCIENCE|8.02
OLD ORCHARD BEACH HIGH SCHOOL|8.1
SURRY ELEMENTARY SCHOOL|8.17
MEDWAY MIDDLE SCHOOL|8.3
DRESDEN ELEMENTARY SCHOOL|8.32
RANGELEY LAKES REGIONAL SCHOOL|8.32
BLUE HILL CONSOLIDATED SCHOOL|8.33
EAST RANGE II CSD SCHOOL|8.33
UPPER KENNEBEC VALLEY SENIOR HS|8.33
KERMIT S NICKERSON SCHOOL|8.34
WALLAGRASS ELEMENTARY SCHOOL|8.4
FRIENDSHIP VILLAGE SCHOOL|8.43
EASTON JUNIOR-SENIOR HIGH SCH|8.45
RICHMOND HIGH SCHOOL|8.45
EAST GRAND SCHOOL|8.47
WISCASSET HIGH SCHOOL|8.52
EDGECOMB EDDY SCHOOL|8.61
PRESCOTT MEMORIAL SCHOOL|8.67
EASTON ELEMENTARY SCHOOL|8.7
MACHIAS MEMORIAL HIGH SCHOOL|8.7
JONESPORT ELEMENTARY SCHOOL|8.75
MT DESERT ELEMENTARY SCHOOL|8.79
VIOLA RAND SCHOOL|8.79
KINGFIELD ELEMENTARY SCHOOL|8.84
STEVENS BROOK SCHOOL|8.94
CLINTON ELEMENTARY SCHOOL|8.96
EDNA DRINKWATER SCHOOL|8.96
NEW SWEDEN CONSOLIDATED SCHOOL|8.96
PEMETIC ELEMENTARY SCHOOL|9.04
LIMESTONE COMMUNITY SCHOOL|9.05
T W KELLY DIRIGO MIDDLE SCHOOL|9.05
MARANACOOK COMMUNITY MIDDLE SCH|9.08
DAYTON CONSOLIDATED SCHOOL|9.09
HELEN S DUNN ELEMENTARY SCHOOL|9.1
ELLA LEWIS SCHOOL|9.11
WISCASSET ELEMENTARY SCHOOL|9.12
WOODSIDE ELEMENTARY SCHOOL|9.13
BAY RIDGE ELEMENTARY|9.14
SUMNER MEMORIAL HIGH SCHOOL|9.14
MOSCOW ELEMENTARY|9.2
HARPSWELL COMMUNITY SCHOOL|9.22
WHITEFIELD ELEMENTARY SCHOOL|9.22
MOUNTAIN VIEW SCHOOL|9.24
LORANGER MEMORIAL SCHOOL|9.26
STEEP FALLS ELEMENTARY SCHOOL|9.27
MOUNTAIN VALLEY MIDDLE SCHOOL|9.3
CONNERS-EMERSON SCHOOL|9.31
ROCKLAND DISTRICT MIDDLE SCHOOL|9.34
APPLETON VILLAGE SCHOOL|9.36
LAKE REGION MIDDLE SCHOOL|9.38
NOBLEBORO CENTRAL SCHOOL|9.38
MOLLY OCKETT MIDDLE SCHOOL|9.39
MAINE ACADEMY OF NATURAL SCIENCES|9.43
MT ARARAT MIDDLE SCHOOL|9.45
SOUTH BRISTOL ELEMENTARY SCHOOL|9.47
H B EMERY JR MEMORIAL SCHOOL|9.51
MILLER SCHOOL|9.66
LINCOLNVILLE CENTRAL SCHOOL|9.68
PENOBSCOT VALLEY HIGH SCHOOL|9.71
UNION ELEMENTARY|9.72
BEECH HILL SCHOOL|9.73
ASA C ADAMS SCHOOL|9.74
TRIPP MIDDLE SCHOOL|9.75
ACTON ELEMENTARY SCHOOL|9.76
ALEXANDER ELEMENTARY|9.76
SCHENCK HIGH SCHOOL|9.81
CAVE HILL SCHOOL|9.85
ENFIELD STATION ELEMENTARY SCHOOL|9.85
TELSTAR MIDDLE SCHOOL|9.86
VINE STREET SCHOOL|9.86
JONESBORO ELEMENTARY SCHOOL|9.87
CARRABEC HIGH SCHOOL|9.91
STRONG ELEMENTARY SCHOOL|9.91
SOMERSET VALLEY MIDDLE SCHOOL|9.92
WOODLAND CONSOLIDATED SCH|9.92
ROBERT W TRAIP ACADEMY|9.93
BOOTHBAY REGION HIGH SCHOOL|9.95
CENTRAL AROOSTOOK JR-SR H S|9.96
LINCOLN MIDDLE SCHOOL|9.98
SAD 70 HODGDON HIGH SCHOOL|9.99
EAST BELFAST SCHOOL|10.04
MADISON JUNIOR HIGH SCHOOL|10.05
AUBURN MIDDLE SCHOOL|10.06
LEONARD MIDDLE SCHOOL|10.06
BOWDOINHAM COMMUNITY SCHOOL|10.11
GREELY MIDDLE SCHOOL|10.13
SOUTH SCHOOL|10.14
LEE ACADEMY|10.15
COFFIN SCHOOL|10.16
MT VIEW ELEMENTARY SCHOOL|10.17
ELM STREET SCHOOL-EAST MACHIAS|10.18
PERRY ELEMENTARY SCHOOL|10.2
PRINCETON ELEMENTARY SCHOOL|10.2
ALBION ELEMENTARY SCHOOL|10.22
GARRET SCHENCK SCHOOL|10.22
HANCOCK GRAMMAR SCHOOL|10.22
G HERBERT JEWETT SCHOOL|10.25
GOVERNOR JAMES B LONGLEY ELEM SCH|10.26
HALL-DALE HIGH SCHOOL|10.26
OCEANSIDE HIGH SCHOOL WEST|10.27
PHILLIPS ELEMENTARY SCHOOL|10.27
CRESCENT PARK SCHOOL|10.32
FOREST HILLS CONSOLIDATED SCHOOL|10.36
HOLBROOK SCHOOL|10.36
MADISON ELEMENTARY SCHOOL|10.36
LAFAYETTE SCHOOL|10.37
LONG ISLAND ELEMENTARY SCHOOL|10.38
SEARSPORT ELEMENTARY|10.38
WELLS JUNIOR HIGH SCHOOL|10.4
OPAL MYRICK ELEMENTARY SCHOOL|10.41
WINTHROP HIGH SCHOOL|10.41
DR LEVESQUE ELEMENTARY SCHOOL|10.43
NARRAGUAGUS HIGH SCHOOL|10.43
MEDOMAK MIDDLE SCHOOL|10.45
POWNAL ELEMENTARY SCHOOL|10.45
BRUNSWICK JR HIGH SCHOOL|10.46
LEWISTON MIDDLE SCHOOL|10.48
SEARSPORT DISTRICT MIDDLE SCHOOL|10.49
MEROBY ELEMENTARY SCHOOL|10.5
ST ALBANS CONSOLIDATED|10.5
MT JEFFERSON JR HIGH SCHOOL|10.53
TROY CENTRAL SCHOOL|10.53
PHIPPSBURG ELEMENTARY SCHOOL|10.57
MONMOUTH ACADEMY|10.58
WOODLAND ELEMENTARY SCHOOL|10.58
PEMBROKE ELEMENTARY SCHOOL|10.59
FALMOUTH MIDDLE SCHOOL|10.6
PEAKS ISLAND SCHOOL|10.6
VILLAGE ELEMENTARY SCHOOL-YORK|10.61
RIDGE VIEW COMMUNITY SCHOOL|10.62
FORT FAIRFIELD MIDDLE/HIGH SCHOOL|10.64
SACCARAPPA SCHOOL|10.65
BUCKSPORT HIGH SCHOOL|10.67
PARK AVENUE ELEMENTARY SCHOOL|10.67
MT VERNON ELEMENTARY SCHOOL|10.68
WARREN COMMUNITY SCHOOL|10.68
NORTH BERWICK ELEMENTARY SCHOOLS|10.69
RUMFORD ELEMENTARY|10.69
JAY ELEMENTARY SCHOOL|10.72
GOVERNOR JOHN FAIRFIELD SCHOOL|10.73
MT DESERT ISLAND HIGH SCHOOL|10.73
DEDHAM SCHOOL|10.76
NEW SUNCOOK SCHOOL|10.76
BIDDEFORD MIDDLE SCHOOL|10.77
JAMESON ELEMENTARY SCHOOL|10.77
PALERMO CONSOLIDATED SCHOOL|10.77
WALKER MEMORIAL SCHOOL|10.77
WISDOM MIDDLE HIGH SCHOOL|10.78
BLOOMFIELD ELEMENTARY SCHOOL|10.79
OTISFIELD COMMUNITY SCHOOL|10.79
RIVERTON SCHOOL|10.79
LEBANON ELEMENTARY SCHOOLS|10.8
MT BLUE MIDDLE SCHOOL|10.8
WALTON SCHOOL|10.8
WELLS ELEMENTARY SCHOOL|10.82
EAST END COMMUNITY SCHOOL|10.84
MARGARET CHASE SMITH SCH.-SKOWHEGAN|10.84
MILL STREAM ELEMENTARY SCHOOL|10.85
DENMARK ELEMENTARY SCHOOL|10.86
LAKE REGION HIGH SCHOOL|10.86
MAST LANDING SCHOOL|10.86
DANIEL F. MAHONEY MIDDLE SCHOOL|10.87
MARCIA BUKER SCHOOL|10.87
WISCASSET MIDDLE SCHOOL|10.87
ASHLAND DISTRICT SCHOOL|10.88
POLAND REGIONAL H S|10.88
CORINNA ELEMENTARY SCHOOL|10.89
HOWARD C REICHE COMMUNITY SCH|10.89
ALBERT S HALL SCHOOL|10.9
JAMES OTIS KALER ELEMENTARY SCHOOL|10.9
KENDUSKEAG ELEMENTARY SCHOOL|10.92
SONGO LOCKS SCHOOL|10.92
KING MIDDLE SCHOOL|10.93
WOODSTOCK SCHOOL|10.93
KATAHDIN ELEMENTARY SCHOOL|10.94
BLUE POINT SCHOOL|10.96
LAWRENCE JR HIGH SCHOOL|10.96
CALAIS MIDDLE/HIGH SCHOOL|10.99
ETNA-DIXMONT SCHOOL|11
SHEAD HIGH SCHOOL|11
ALTON ELEMENTARY SCHOOL|11.01
BRISTOL CONSOLIDATED SCHOOL|11.01
GREENVILLE CONSOLIDATED SCHOOL|11.03
AGNES GRAY SCHOOL|11.04
BUCKFIELD JR-SR HIGH SCHOOL|11.04
SACOPEE VALLEY HIGH SCH|11.05
WINSLOW ELEMENTARY SCHOOL|11.06
LEEDS CENTRAL SCHOOL|11.07
TEAGUE PARK SCHOOL|11.08
KENNEBUNK HIGH SCHOOL|11.09
BIDDEFORD INTERMEDIATE SCHOOL|11.1
CAMDEN-ROCKPORT ELEMENTARY SCHOOL|11.1
WATERFORD MEMORIAL SCHOOL|11.1
HARTFORD-SUMNER ELEMENTARY SCHOOL|11.11
BENTON ELEMENTARY SCHOOL|11.12
CAPE ELIZABETH HIGH SCHOOL|11.13
GREELY HIGH SCHOOL|11.13
FREEPORT MIDDLE SCHOOL|11.15
FARWELL ELEMENTARY SCHOOL|11.2
ORONO MIDDLE SCHOOL|11.21
MATTANAWCOOK ACADEMY|11.22
HOLDEN SCHOOL|11.23
WATERVILLE JUNIOR HIGH SCHOOL|11.23
EASTPORT ELEMENTARY SCHOOL|11.25
FAIRMOUNT SCHOOL|11.25
OLD TOWN HIGH SCHOOL|11.26
SHAPLEIGH SCHOOL|11.26
HOULTON JUNIOR HIGH SCHOOL|11.29
WELLS HIGH SCHOOL|11.29
CAMDEN-ROCKPORT MIDDLE SCHOOL|11.33
CARIBOU MIDDLE SCHOOL|11.35
ELLSWORTH HIGH SCHOOL|11.35
WILLIAM H ROWE SCHOOL|11.35
FALMOUTH HIGH SCHOOL|11.36
SHAPLEIGH MEMORIAL SCHOOL|11.36
HARMONY ELEMENTARY|11.38
LYMAN MOORE MIDDLE SCHOOL|11.39
MANCHESTER ELEMENTARY SCHOOL|11.4
TURNER ELEMENTARY SCHOOL|11.4
ELLA P BURR SCHOOL|11.42
PRESUMPSCOT SCHOOL|11.42
ALFRED ELEMENTARY SCHOOL|11.44
BOOTHBAY REGION ELEM SCHOOL|11.44
FRANK H HARRISON MIDDLE SCHOOL|11.44
WINTHROP MIDDLE SCHOOL|11.44
DANIEL W MERRITT SCHOOL|11.45
CAPE ELIZABETH MIDDLE SCHOOL|11.46
HALL-DALE MIDDLE SCHOOL|11.46
EDDINGTON SCHOOL|11.47
GRAY-NEW GLOUCESTER HIGH SCHOOL|11.48
PENQUIS VALLEY HIGH SCHOOL|11.48
EDITH A LOMBARD SCHOOL|11.5
CHELSEA ELEMENTARY SCHOOL|11.51
RAYMOND ELEMENTARY SCHOOL|11.53
MEMORIAL MIDDLE SCHOOL|11.55
EDNA LIBBY ELEMENTARY SCHOOL|11.56
FORT KENT ELEMENTARY SCHOOL|11.57
CAMDEN HILLS REGIONAL H S|11.58
FOURTEENTH STREET SCHOOL|11.58
HICHBORN MIDDLE SCHOOL|11.59
READFIELD ELEMENTARY SCHOOL|11.59
CARMEL ELEMENTARY SCHOOL|11.6
SO AROOSTOOK SCHOOL|11.6
EDWARD LITTLE HIGH SCHOOL|11.63
WOODLAND JR-SR HIGH SCHOOL|11.64
HARRISON ELEMENTARY|11.67
BRUNSWICK HIGH SCHOOL|11.68
DR LEWIS S LIBBY SCHOOL|11.69
MARY SNOW SCHOOL|11.69
ORONO HIGH SCHOOL|11.71
OXFORD HILLS MIDDLE SCHOOL|11.71
WEST BATH SCHOOL|11.71
DIRIGO HIGH SCHOOL|11.72
GLADYS WEYMOUTH ELEM SCHOOL|11.72
OCEANSIDE HIGH SCHOOL EAST|11.72
CARRIE RICKER SCHOOL|11.76
LEAVITT AREA HIGH SCHOOL|11.77
